"","polviews","race"
"49540","Liberal","White"
"49541","Moderate","White"
"49542","Conservative","White"
"49543","Conservative","White"
"49544","Slightly Liberal","White"
"49545","Slightly Conservative","White"
"49546","Moderate","White"
"49547","Slightly Liberal","White"
"49548","Moderate","White"
"49549","Moderate","White"
"49550","Liberal","White"
"49551","Slightly Liberal","White"
"49552","Liberal","White"
"49553","Moderate","White"
"49554","Liberal","White"
"49555","Moderate","Other"
"49556","Liberal","White"
"49557","Liberal","White"
"49558","Moderate","White"
"49559","Liberal","White"
"49560","Moderate","White"
"49561","Moderate","White"
"49562","Moderate","White"
"49563","Conservative","White"
"49564","Slightly Liberal","Other"
"49565","Moderate","White"
"49566","Moderate","White"
"49567","Conservative","White"
"49568","Moderate","Other"
"49569","Moderate","Other"
"49570","Slightly Liberal","Other"
"49571","Slightly Conservative","White"
"49572","Slightly Liberal","Other"
"49573","Moderate","White"
"49574","Slightly Liberal","White"
"49575","Moderate","White"
"49576","Slightly Conservative","White"
"49577","Slightly Liberal","White"
"49578","Moderate","Other"
"49579","Moderate","White"
"49580","Conservative","White"
"49581","Moderate","White"
"49582","Slightly Liberal","White"
"49583","Slightly Conservative","Other"
"49584","Moderate","Other"
"49585","Conservative","White"
"49586","Moderate","White"
"49587","Conservative","White"
"49588","Moderate","White"
"49589","Slightly Liberal","White"
"49590","Liberal","White"
"49591","Moderate","White"
"49592","Extremely Liberal","White"
"49593","Moderate","White"
"49594","Liberal","White"
"49595","Liberal","Black"
"49596","Liberal","White"
"49597","Slightly Liberal","White"
"49598","Liberal","White"
"49599","Liberal","White"
"49600","Slightly Liberal","White"
"49601","Moderate","Other"
"49602","Liberal","White"
"49603","Conservative","White"
"49604","Moderate","White"
"49605","Slightly Conservative","White"
"49606","Extrmly Conservative","White"
"49607","Slightly Conservative","White"
"49608","Slightly Conservative","White"
"49609","Slightly Conservative","White"
"49610","Moderate","White"
"49611","Liberal","White"
"49612","Conservative","White"
"49613","Extrmly Conservative","White"
"49614","Slightly Conservative","White"
"49615","Conservative","White"
"49616","Liberal","White"
"49617","Moderate","White"
"49618","Slightly Conservative","White"
"49619","Conservative","White"
"49620","Slightly Conservative","White"
"49621","Slightly Liberal","Other"
"49622","Moderate","White"
"49623","Moderate","White"
"49624","Conservative","White"
"49625","Conservative","White"
"49626","Slightly Liberal","White"
"49627","Conservative","White"
"49628","Conservative","White"
"49629","Moderate","White"
"49630","Moderate","White"
"49631","Slightly Conservative","White"
"49632","Conservative","White"
"49633","Moderate","White"
"49634","Slightly Liberal","White"
"49635","Conservative","White"
"49636","Moderate","White"
"49637","Slightly Conservative","White"
"49638","Extremely Liberal","White"
"49639","Moderate","White"
"49640","Moderate","White"
"49641","Slightly Conservative","White"
"49642","Conservative","White"
"49643","Slightly Liberal","White"
"49644","Slightly Conservative","White"
"49645","Slightly Liberal","White"
"49646","Slightly Liberal","White"
"49647","Liberal","White"
"49648","Moderate","White"
"49649","Slightly Conservative","White"
"49650","Moderate","White"
"49651","Extrmly Conservative","White"
"49652","Moderate","White"
"49653","Slightly Liberal","White"
"49654","Liberal","White"
"49655","Slightly Liberal","White"
"49656","Moderate","Other"
"49657","Moderate","White"
"49658","Extrmly Conservative","White"
"49659","Conservative","White"
"49660","Moderate","Other"
"49661","Slightly Liberal","White"
"49662","Moderate","White"
"49663","Moderate","White"
"49664","Extrmly Conservative","White"
"49665","Moderate","White"
"49666","Moderate","White"
"49667","Extremely Liberal","Black"
"49668","Slightly Liberal","White"
"49669","Moderate","White"
"49671","Conservative","Other"
"49672","Conservative","White"
"49673","Conservative","Other"
"49674","Slightly Liberal","Other"
"49675","Liberal","Other"
"49676","Moderate","Other"
"49677","Moderate","Other"
"49678","Slightly Liberal","Other"
"49679","Slightly Conservative","White"
"49680","Slightly Conservative","White"
"49681","Moderate","White"
"49682","Conservative","Other"
"49683","Moderate","White"
"49684","Moderate","Other"
"49685","Liberal","White"
"49686","Moderate","White"
"49688","Slightly Conservative","Other"
"49689","Moderate","Other"
"49691","Slightly Conservative","White"
"49692","Moderate","White"
"49693","Moderate","White"
"49694","Slightly Liberal","White"
"49695","Moderate","White"
"49696","Slightly Conservative","White"
"49697","Moderate","Other"
"49698","Conservative","White"
"49699","Slightly Conservative","Other"
"49700","Liberal","White"
"49701","Conservative","White"
"49702","Moderate","White"
"49703","Moderate","Other"
"49704","Conservative","White"
"49705","Conservative","White"
"49706","Conservative","White"
"49707","Slightly Liberal","White"
"49708","Slightly Conservative","White"
"49709","Conservative","White"
"49710","Moderate","White"
"49712","Moderate","White"
"49714","Slightly Liberal","White"
"49715","Conservative","White"
"49716","Liberal","White"
"49717","Extremely Liberal","White"
"49718","Slightly Conservative","White"
"49719","Slightly Conservative","Other"
"49720","Conservative","White"
"49721","Moderate","Other"
"49722","Slightly Conservative","White"
"49723","Moderate","White"
"49724","Conservative","Other"
"49725","Slightly Liberal","Other"
"49726","Extremely Liberal","Other"
"49727","Conservative","White"
"49728","Moderate","White"
"49729","Moderate","Other"
"49730","Moderate","Other"
"49731","Moderate","White"
"49732","Liberal","Other"
"49733","Slightly Liberal","White"
"49735","Liberal","White"
"49736","Slightly Conservative","Other"
"49737","Liberal","White"
"49738","Slightly Liberal","Other"
"49739","Moderate","Other"
"49740","Moderate","White"
"49741","Liberal","White"
"49742","Moderate","Other"
"49743","Slightly Liberal","White"
"49744","Conservative","Other"
"49745","Moderate","Other"
"49746","Moderate","Other"
"49747","Conservative","Other"
"49748","Conservative","Other"
"49749","Slightly Liberal","Other"
"49750","Moderate","Other"
"49751","Moderate","Other"
"49752","Moderate","Other"
"49753","Slightly Conservative","Other"
"49754","Slightly Conservative","Other"
"49755","Slightly Conservative","White"
"49756","Moderate","White"
"49757","Extrmly Conservative","Other"
"49758","Moderate","White"
"49759","Moderate","White"
"49760","Slightly Liberal","White"
"49761","Slightly Conservative","White"
"49762","Slightly Liberal","White"
"49763","Liberal","White"
"49764","Conservative","White"
"49765","Slightly Conservative","White"
"49766","Moderate","White"
"49767","Conservative","White"
"49768","Conservative","White"
"49769","Liberal","White"
"49770","Moderate","White"
"49771","Conservative","White"
"49772","Liberal","White"
"49773","Moderate","White"
"49774","Slightly Conservative","White"
"49775","Slightly Liberal","White"
"49776","Moderate","White"
"49777","Moderate","White"
"49778","Slightly Liberal","White"
"49779","Slightly Liberal","White"
"49780","Liberal","White"
"49781","Slightly Conservative","White"
"49782","Moderate","White"
"49783","Moderate","White"
"49784","Moderate","White"
"49785","Moderate","White"
"49786","Moderate","White"
"49787","Slightly Conservative","White"
"49788","Liberal","White"
"49789","Moderate","White"
"49790","Liberal","Black"
"49791","Conservative","White"
"49792","Moderate","White"
"49793","Moderate","White"
"49794","Conservative","White"
"49795","Moderate","White"
"49796","Conservative","White"
"49797","Moderate","White"
"49798","Moderate","White"
"49799","Moderate","White"
"49800","Conservative","White"
"49801","Moderate","White"
"49802","Slightly Liberal","White"
"49803","Moderate","White"
"49804","Extremely Liberal","White"
"49805","Moderate","White"
"49806","Slightly Liberal","White"
"49807","Slightly Conservative","White"
"49809","Conservative","Other"
"49810","Moderate","White"
"49811","Extrmly Conservative","White"
"49812","Moderate","White"
"49813","Conservative","White"
"49814","Slightly Conservative","White"
"49815","Moderate","White"
"49816","Liberal","White"
"49817","Moderate","White"
"49818","Moderate","White"
"49819","Moderate","White"
"49820","Conservative","White"
"49821","Conservative","White"
"49822","Moderate","White"
"49823","Moderate","White"
"49824","Slightly Conservative","White"
"49825","Slightly Conservative","White"
"49826","Liberal","White"
"49827","Moderate","White"
"49828","Moderate","White"
"49829","Extremely Liberal","White"
"49830","Slightly Liberal","White"
"49831","Extremely Liberal","White"
"49832","Moderate","White"
"49833","Slightly Conservative","White"
"49834","Liberal","White"
"49835","Slightly Conservative","White"
"49836","Moderate","White"
"49837","Conservative","White"
"49838","Conservative","White"
"49839","Moderate","White"
"49840","Moderate","White"
"49841","Liberal","White"
"49842","Liberal","White"
"49843","Moderate","White"
"49844","Moderate","White"
"49845","Liberal","White"
"49846","Moderate","White"
"49847","Slightly Conservative","White"
"49848","Moderate","White"
"49849","Moderate","White"
"49850","Slightly Liberal","White"
"49851","Moderate","White"
"49852","Extrmly Conservative","White"
"49853","Slightly Liberal","White"
"49854","Conservative","White"
"49855","Conservative","White"
"49856","Conservative","White"
"49857","Conservative","White"
"49858","Conservative","White"
"49859","Slightly Conservative","White"
"49860","Slightly Liberal","White"
"49861","Slightly Conservative","White"
"49862","Slightly Conservative","White"
"49863","Liberal","White"
"49864","Conservative","White"
"49865","Moderate","White"
"49866","Slightly Liberal","White"
"49867","Conservative","White"
"49868","Conservative","White"
"49869","Moderate","White"
"49870","Conservative","White"
"49871","Moderate","Black"
"49872","Moderate","Other"
"49873","Moderate","Other"
"49874","Slightly Liberal","White"
"49876","Liberal","White"
"49877","Slightly Liberal","White"
"49878","Liberal","White"
"49879","Moderate","Other"
"49880","Moderate","White"
"49881","Liberal","White"
"49882","Conservative","White"
"49883","Moderate","White"
"49884","Conservative","White"
"49885","Moderate","White"
"49886","Moderate","White"
"49887","Liberal","White"
"49888","Slightly Conservative","White"
"49889","Moderate","Other"
"49890","Slightly Conservative","White"
"49891","Slightly Conservative","White"
"49892","Liberal","White"
"49893","Extremely Liberal","White"
"49894","Slightly Conservative","White"
"49895","Moderate","White"
"49896","Slightly Conservative","White"
"49897","Slightly Liberal","White"
"49898","Slightly Conservative","Other"
"49899","Conservative","White"
"49900","Moderate","White"
"49901","Conservative","White"
"49902","Moderate","White"
"49903","Slightly Liberal","White"
"49904","Moderate","Other"
"49905","Moderate","Other"
"49906","Liberal","Other"
"49907","Moderate","White"
"49908","Slightly Liberal","White"
"49909","Moderate","White"
"49910","Conservative","White"
"49911","Moderate","White"
"49912","Slightly Conservative","White"
"49913","Slightly Liberal","White"
"49914","Moderate","White"
"49915","Liberal","White"
"49916","Moderate","White"
"49917","Moderate","White"
"49918","Moderate","White"
"49919","Slightly Liberal","White"
"49920","Moderate","White"
"49921","Liberal","White"
"49922","Moderate","White"
"49923","Conservative","White"
"49924","Moderate","White"
"49925","Liberal","White"
"49928","Slightly Liberal","White"
"49929","Moderate","White"
"49931","Slightly Conservative","White"
"49932","Extrmly Conservative","White"
"49933","Slightly Conservative","White"
"49934","Moderate","White"
"49935","Liberal","White"
"49936","Slightly Liberal","White"
"49937","Conservative","White"
"49938","Slightly Liberal","Black"
"49939","Conservative","White"
"49940","Conservative","White"
"49941","Liberal","Black"
"49942","Moderate","White"
"49943","Moderate","White"
"49944","Moderate","White"
"49945","Slightly Liberal","White"
"49946","Slightly Liberal","White"
"49947","Conservative","White"
"49948","Moderate","White"
"49949","Conservative","White"
"49950","Moderate","White"
"49951","Moderate","White"
"49952","Slightly Liberal","White"
"49953","Moderate","White"
"49954","Conservative","White"
"49955","Moderate","White"
"49956","Moderate","White"
"49957","Slightly Conservative","White"
"49958","Conservative","White"
"49960","Moderate","White"
"49961","Conservative","White"
"49963","Extrmly Conservative","White"
"49964","Liberal","White"
"49965","Liberal","White"
"49966","Moderate","White"
"49967","Slightly Conservative","White"
"49968","Moderate","White"
"49969","Liberal","White"
"49970","Moderate","White"
"49971","Moderate","White"
"49973","Conservative","White"
"49974","Slightly Conservative","White"
"49975","Extrmly Conservative","White"
"49976","Slightly Conservative","White"
"49977","Slightly Liberal","White"
"49978","Slightly Liberal","White"
"49979","Moderate","White"
"49980","Moderate","White"
"49981","Conservative","White"
"49982","Conservative","White"
"49983","Slightly Liberal","White"
"49984","Moderate","White"
"49985","Conservative","White"
"49987","Moderate","White"
"49988","Extremely Liberal","White"
"49989","Extrmly Conservative","White"
"49990","Moderate","White"
"49992","Extrmly Conservative","Other"
"49993","Conservative","White"
"49994","Liberal","White"
"49995","Moderate","Other"
"49997","Moderate","White"
"49998","Slightly Liberal","Other"
"49999","Conservative","White"
"50000","Moderate","White"
"50001","Conservative","White"
"50002","Moderate","White"
"50003","Slightly Conservative","White"
"50004","Slightly Conservative","White"
"50005","Moderate","White"
"50006","Conservative","White"
"50007","Moderate","White"
"50008","Liberal","White"
"50009","Slightly Conservative","White"
"50010","Moderate","White"
"50011","Liberal","White"
"50012","Slightly Conservative","White"
"50013","Slightly Conservative","White"
"50014","Moderate","White"
"50015","Slightly Liberal","White"
"50016","Conservative","White"
"50017","Moderate","White"
"50018","Moderate","White"
"50019","Moderate","White"
"50020","Slightly Conservative","White"
"50021","Liberal","White"
"50022","Conservative","White"
"50023","Moderate","White"
"50024","Extremely Liberal","White"
"50025","Slightly Conservative","White"
"50026","Moderate","White"
"50027","Conservative","White"
"50028","Slightly Liberal","White"
"50029","Conservative","White"
"50030","Slightly Liberal","White"
"50031","Moderate","White"
"50033","Slightly Liberal","White"
"50034","Conservative","White"
"50035","Slightly Conservative","White"
"50036","Moderate","White"
"50037","Moderate","White"
"50038","Slightly Conservative","White"
"50039","Slightly Conservative","White"
"50040","Liberal","White"
"50041","Moderate","White"
"50042","Conservative","White"
"50043","Conservative","White"
"50044","Moderate","White"
"50046","Moderate","White"
"50047","Moderate","White"
"50048","Moderate","White"
"50049","Moderate","White"
"50050","Moderate","White"
"50051","Moderate","White"
"50052","Slightly Liberal","White"
"50053","Slightly Liberal","White"
"50055","Moderate","Other"
"50056","Slightly Conservative","White"
"50057","Slightly Conservative","White"
"50058","Extrmly Conservative","White"
"50059","Conservative","White"
"50060","Conservative","White"
"50061","Extrmly Conservative","White"
"50062","Conservative","White"
"50063","Liberal","White"
"50064","Moderate","White"
"50065","Moderate","White"
"50066","Moderate","White"
"50067","Moderate","White"
"50068","Moderate","White"
"50069","Slightly Liberal","White"
"50070","Moderate","White"
"50071","Slightly Conservative","White"
"50072","Moderate","White"
"50073","Moderate","White"
"50074","Moderate","White"
"50075","Moderate","White"
"50076","Moderate","White"
"50077","Extrmly Conservative","White"
"50078","Liberal","White"
"50079","Moderate","White"
"50080","Moderate","White"
"50081","Moderate","White"
"50082","Moderate","White"
"50083","Extrmly Conservative","White"
"50084","Moderate","White"
"50085","Conservative","White"
"50086","Moderate","White"
"50087","Moderate","White"
"50088","Moderate","White"
"50089","Moderate","White"
"50090","Conservative","White"
"50091","Moderate","White"
"50092","Moderate","White"
"50093","Moderate","White"
"50095","Moderate","White"
"50096","Moderate","White"
"50097","Liberal","White"
"50098","Moderate","White"
"50099","Conservative","White"
"50100","Conservative","White"
"50101","Conservative","White"
"50102","Moderate","White"
"50103","Moderate","White"
"50104","Moderate","White"
"50105","Moderate","White"
"50106","Moderate","White"
"50107","Liberal","White"
"50108","Slightly Liberal","White"
"50109","Moderate","White"
"50110","Conservative","White"
"50111","Liberal","White"
"50112","Moderate","White"
"50113","Slightly Conservative","White"
"50114","Liberal","White"
"50115","Conservative","White"
"50116","Conservative","White"
"50117","Conservative","White"
"50118","Moderate","White"
"50119","Moderate","White"
"50120","Conservative","White"
"50121","Moderate","White"
"50122","Conservative","White"
"50123","Moderate","White"
"50124","Slightly Conservative","White"
"50125","Extrmly Conservative","White"
"50126","Moderate","White"
"50128","Moderate","White"
"50129","Moderate","White"
"50130","Moderate","White"
"50131","Slightly Conservative","White"
"50132","Moderate","White"
"50133","Slightly Liberal","White"
"50134","Moderate","White"
"50135","Moderate","White"
"50136","Slightly Conservative","White"
"50137","Moderate","White"
"50138","Liberal","White"
"50139","Slightly Conservative","White"
"50140","Moderate","White"
"50141","Liberal","White"
"50142","Conservative","White"
"50143","Conservative","White"
"50144","Conservative","White"
"50145","Slightly Conservative","White"
"50146","Liberal","White"
"50147","Slightly Conservative","White"
"50148","Liberal","White"
"50150","Moderate","White"
"50151","Conservative","White"
"50152","Liberal","White"
"50153","Liberal","White"
"50154","Moderate","White"
"50155","Moderate","White"
"50156","Moderate","White"
"50157","Moderate","White"
"50158","Moderate","White"
"50159","Conservative","White"
"50160","Conservative","White"
"50161","Extrmly Conservative","White"
"50162","Conservative","White"
"50163","Moderate","White"
"50164","Liberal","White"
"50165","Moderate","White"
"50166","Liberal","White"
"50167","Moderate","White"
"50168","Moderate","White"
"50169","Moderate","White"
"50170","Conservative","Black"
"50171","Conservative","Black"
"50172","Moderate","Black"
"50173","Liberal","White"
"50174","Conservative","White"
"50175","Conservative","White"
"50176","Slightly Conservative","White"
"50177","Extrmly Conservative","Black"
"50178","Conservative","White"
"50179","Conservative","White"
"50180","Extremely Liberal","White"
"50181","Slightly Liberal","Black"
"50182","Extrmly Conservative","Black"
"50183","Moderate","Black"
"50184","Moderate","White"
"50185","Moderate","White"
"50186","Moderate","White"
"50187","Conservative","White"
"50188","Slightly Conservative","White"
"50189","Conservative","White"
"50190","Conservative","White"
"50191","Conservative","Other"
"50192","Conservative","White"
"50194","Conservative","Black"
"50195","Extrmly Conservative","White"
"50196","Moderate","White"
"50197","Moderate","White"
"50198","Slightly Liberal","White"
"50199","Conservative","Black"
"50200","Moderate","White"
"50201","Slightly Conservative","White"
"50202","Moderate","White"
"50203","Conservative","White"
"50204","Moderate","White"
"50205","Slightly Conservative","White"
"50206","Moderate","White"
"50207","Extrmly Conservative","White"
"50208","Slightly Conservative","White"
"50209","Moderate","Black"
"50211","Moderate","Black"
"50213","Moderate","Black"
"50214","Moderate","White"
"50215","Moderate","Black"
"50218","Slightly Liberal","Black"
"50219","Moderate","Other"
"50220","Slightly Conservative","Black"
"50221","Liberal","White"
"50223","Conservative","Other"
"50225","Moderate","White"
"50226","Slightly Conservative","White"
"50227","Conservative","White"
"50228","Slightly Liberal","White"
"50229","Slightly Conservative","White"
"50230","Conservative","White"
"50231","Conservative","White"
"50233","Extrmly Conservative","White"
"50234","Slightly Conservative","White"
"50235","Conservative","White"
"50236","Slightly Conservative","White"
"50237","Moderate","White"
"50238","Conservative","White"
"50239","Moderate","White"
"50240","Moderate","White"
"50241","Moderate","White"
"50242","Extrmly Conservative","White"
"50243","Moderate","White"
"50244","Liberal","White"
"50245","Liberal","White"
"50246","Slightly Conservative","White"
"50247","Moderate","White"
"50248","Extrmly Conservative","White"
"50249","Slightly Liberal","White"
"50250","Moderate","White"
"50251","Liberal","White"
"50252","Conservative","White"
"50253","Moderate","White"
"50254","Slightly Liberal","White"
"50255","Moderate","White"
"50256","Conservative","White"
"50257","Moderate","White"
"50258","Extrmly Conservative","White"
"50259","Conservative","White"
"50260","Slightly Conservative","White"
"50261","Moderate","White"
"50262","Extrmly Conservative","White"
"50263","Moderate","White"
"50264","Conservative","White"
"50265","Moderate","White"
"50266","Extrmly Conservative","White"
"50267","Slightly Liberal","White"
"50268","Extrmly Conservative","White"
"50269","Conservative","White"
"50270","Moderate","White"
"50271","Slightly Liberal","White"
"50272","Liberal","Black"
"50273","Conservative","White"
"50274","Moderate","White"
"50275","Moderate","White"
"50276","Moderate","White"
"50277","Slightly Conservative","White"
"50278","Moderate","Other"
"50279","Conservative","White"
"50280","Slightly Conservative","White"
"50282","Conservative","White"
"50283","Liberal","White"
"50284","Liberal","White"
"50285","Moderate","White"
"50286","Moderate","White"
"50287","Slightly Liberal","White"
"50288","Moderate","White"
"50289","Moderate","White"
"50290","Conservative","White"
"50291","Moderate","White"
"50292","Moderate","White"
"50293","Slightly Liberal","White"
"50294","Moderate","White"
"50295","Slightly Conservative","White"
"50296","Slightly Conservative","White"
"50297","Conservative","White"
"50298","Conservative","White"
"50299","Conservative","White"
"50300","Conservative","White"
"50301","Moderate","White"
"50302","Moderate","White"
"50303","Conservative","White"
"50304","Moderate","White"
"50305","Moderate","White"
"50306","Liberal","White"
"50307","Slightly Conservative","White"
"50308","Slightly Conservative","White"
"50309","Slightly Conservative","White"
"50310","Extrmly Conservative","White"
"50312","Moderate","White"
"50313","Slightly Conservative","White"
"50314","Moderate","White"
"50315","Conservative","White"
"50316","Slightly Conservative","White"
"50317","Moderate","White"
"50318","Slightly Liberal","White"
"50319","Slightly Conservative","White"
"50321","Slightly Liberal","White"
"50322","Liberal","White"
"50323","Slightly Liberal","White"
"50324","Conservative","White"
"50325","Slightly Conservative","White"
"50326","Slightly Liberal","White"
"50327","Moderate","White"
"50328","Moderate","White"
"50329","Moderate","White"
"50330","Conservative","White"
"50331","Slightly Liberal","White"
"50332","Extrmly Conservative","White"
"50333","Conservative","White"
"50334","Slightly Conservative","White"
"50335","Slightly Liberal","White"
"50336","Extrmly Conservative","White"
"50337","Liberal","White"
"50338","Extrmly Conservative","Black"
"50339","Extremely Liberal","Black"
"50340","Slightly Conservative","White"
"50341","Moderate","White"
"50342","Slightly Liberal","White"
"50343","Slightly Conservative","White"
"50344","Moderate","White"
"50345","Conservative","White"
"50346","Conservative","White"
"50347","Moderate","White"
"50348","Moderate","White"
"50349","Moderate","White"
"50350","Moderate","White"
"50351","Moderate","White"
"50352","Moderate","White"
"50353","Moderate","White"
"50354","Extrmly Conservative","White"
"50355","Moderate","Black"
"50356","Extrmly Conservative","White"
"50357","Extrmly Conservative","White"
"50358","Conservative","White"
"50359","Conservative","White"
"50360","Slightly Conservative","White"
"50361","Conservative","White"
"50362","Moderate","White"
"50363","Conservative","Black"
"50364","Liberal","White"
"50365","Moderate","White"
"50366","Moderate","White"
"50367","Moderate","Black"
"50368","Moderate","White"
"50369","Moderate","White"
"50370","Extremely Liberal","Black"
"50371","Extrmly Conservative","Black"
"50372","Liberal","Black"
"50373","Slightly Liberal","Black"
"50374","Moderate","White"
"50375","Moderate","Black"
"50376","Conservative","White"
"50377","Slightly Liberal","White"
"50378","Moderate","White"
"50379","Slightly Liberal","Black"
"50380","Moderate","Black"
"50381","Conservative","White"
"50382","Liberal","Other"
"50383","Extrmly Conservative","Black"
"50384","Moderate","White"
"50385","Moderate","White"
"50386","Moderate","White"
"50387","Moderate","White"
"50388","Extremely Liberal","Black"
"50389","Slightly Conservative","White"
"50390","Slightly Conservative","White"
"50391","Moderate","Black"
"50392","Slightly Liberal","Black"
"50393","Moderate","White"
"50394","Liberal","White"
"50395","Conservative","White"
"50396","Slightly Liberal","Black"
"50397","Extremely Liberal","Black"
"50398","Conservative","White"
"50399","Slightly Conservative","Black"
"50400","Extrmly Conservative","Black"
"50401","Moderate","Black"
"50402","Slightly Liberal","Black"
"50403","Slightly Liberal","Black"
"50404","Liberal","Black"
"50405","Slightly Conservative","Black"
"50406","Moderate","Black"
"50407","Conservative","Black"
"50408","Liberal","Black"
"50409","Slightly Conservative","Black"
"50410","Moderate","Black"
"50411","Moderate","Black"
"50412","Conservative","Black"
"50413","Extremely Liberal","Black"
"50414","Moderate","White"
"50415","Slightly Liberal","Black"
"50416","Moderate","Black"
"50417","Slightly Conservative","Black"
"50418","Moderate","Black"
"50419","Conservative","White"
"50420","Extrmly Conservative","White"
"50421","Moderate","Other"
"50422","Moderate","Other"
"50423","Conservative","White"
"50424","Moderate","White"
"50425","Slightly Conservative","White"
"50426","Conservative","White"
"50427","Moderate","White"
"50428","Conservative","White"
"50429","Moderate","White"
"50430","Moderate","White"
"50431","Moderate","White"
"50432","Extrmly Conservative","White"
"50433","Conservative","White"
"50434","Conservative","White"
"50435","Moderate","White"
"50436","Moderate","White"
"50437","Conservative","White"
"50438","Conservative","White"
"50439","Liberal","White"
"50440","Moderate","White"
"50441","Conservative","White"
"50442","Moderate","White"
"50443","Slightly Liberal","White"
"50444","Moderate","White"
"50445","Moderate","Black"
"50447","Extremely Liberal","Black"
"50448","Moderate","Black"
"50449","Extrmly Conservative","Black"
"50450","Moderate","Black"
"50451","Moderate","Black"
"50452","Extrmly Conservative","Black"
"50453","Conservative","White"
"50454","Extremely Liberal","Black"
"50455","Moderate","Black"
"50456","Moderate","White"
"50457","Slightly Liberal","White"
"50458","Slightly Conservative","White"
"50459","Moderate","Other"
"50460","Conservative","White"
"50461","Conservative","White"
"50463","Conservative","White"
"50464","Conservative","White"
"50465","Conservative","White"
"50466","Conservative","White"
"50467","Moderate","White"
"50468","Moderate","White"
"50469","Conservative","White"
"50470","Conservative","White"
"50471","Moderate","Black"
"50472","Moderate","Black"
"50473","Moderate","White"
"50474","Moderate","Black"
"50475","Slightly Liberal","Black"
"50476","Liberal","Black"
"50477","Slightly Conservative","Black"
"50478","Conservative","Black"
"50480","Moderate","Black"
"50481","Slightly Liberal","Black"
"50482","Moderate","Black"
"50483","Liberal","Black"
"50484","Slightly Liberal","White"
"50485","Moderate","White"
"50486","Liberal","White"
"50487","Slightly Liberal","White"
"50488","Moderate","Black"
"50490","Slightly Liberal","Black"
"50491","Liberal","Black"
"50492","Slightly Conservative","White"
"50493","Liberal","Black"
"50494","Moderate","Black"
"50495","Moderate","Black"
"50496","Moderate","Black"
"50497","Conservative","White"
"50498","Moderate","White"
"50499","Moderate","Black"
"50501","Liberal","Black"
"50502","Extremely Liberal","Black"
"50503","Extremely Liberal","Black"
"50504","Extremely Liberal","Black"
"50505","Moderate","Black"
"50506","Moderate","Black"
"50507","Slightly Liberal","Black"
"50508","Slightly Liberal","Black"
"50509","Liberal","Black"
"50510","Conservative","Black"
"50512","Slightly Conservative","Black"
"50513","Slightly Liberal","White"
"50514","Slightly Conservative","Black"
"50515","Slightly Liberal","Black"
"50516","Conservative","White"
"50517","Moderate","Other"
"50518","Moderate","Black"
"50519","Slightly Conservative","White"
"50520","Extremely Liberal","Black"
"50521","Extremely Liberal","Black"
"50522","Slightly Conservative","White"
"50523","Slightly Liberal","Black"
"50524","Liberal","White"
"50525","Extrmly Conservative","Black"
"50526","Liberal","White"
"50527","Extrmly Conservative","White"
"50528","Conservative","White"
"50529","Liberal","White"
"50530","Slightly Conservative","Other"
"50531","Slightly Conservative","White"
"50532","Conservative","Other"
"50533","Moderate","Other"
"50534","Moderate","White"
"50535","Slightly Conservative","Black"
"50536","Moderate","White"
"50537","Slightly Conservative","Other"
"50538","Moderate","White"
"50541","Extrmly Conservative","Other"
"50542","Moderate","Black"
"50543","Liberal","Black"
"50544","Slightly Liberal","Other"
"50546","Conservative","White"
"50547","Conservative","White"
"50548","Conservative","White"
"50549","Moderate","White"
"50550","Conservative","White"
"50551","Moderate","White"
"50552","Moderate","White"
"50553","Moderate","White"
"50554","Liberal","White"
"50555","Liberal","White"
"50556","Conservative","White"
"50557","Conservative","White"
"50558","Moderate","White"
"50559","Extrmly Conservative","White"
"50560","Moderate","White"
"50561","Liberal","White"
"50563","Extrmly Conservative","White"
"50564","Moderate","White"
"50565","Extremely Liberal","White"
"50566","Slightly Conservative","Black"
"50567","Moderate","Black"
"50568","Moderate","White"
"50569","Extremely Liberal","White"
"50570","Conservative","White"
"50571","Moderate","White"
"50573","Extrmly Conservative","White"
"50574","Extremely Liberal","Black"
"50575","Conservative","White"
"50576","Slightly Liberal","White"
"50577","Slightly Liberal","Black"
"50578","Liberal","Black"
"50579","Moderate","White"
"50580","Moderate","Black"
"50581","Extrmly Conservative","Black"
"50582","Liberal","Black"
"50583","Moderate","White"
"50584","Slightly Conservative","Black"
"50585","Moderate","Black"
"50586","Moderate","Black"
"50587","Moderate","Black"
"50588","Extrmly Conservative","Black"
"50589","Moderate","Black"
"50590","Liberal","Black"
"50591","Slightly Liberal","Black"
"50592","Moderate","Black"
"50593","Moderate","White"
"50594","Conservative","White"
"50595","Liberal","Other"
"50596","Moderate","White"
"50597","Moderate","White"
"50598","Extremely Liberal","White"
"50599","Moderate","White"
"50600","Moderate","White"
"50601","Conservative","White"
"50602","Conservative","White"
"50603","Liberal","White"
"50605","Moderate","White"
"50606","Liberal","White"
"50607","Liberal","White"
"50608","Moderate","White"
"50609","Slightly Conservative","White"
"50610","Slightly Liberal","Other"
"50611","Liberal","Other"
"50612","Slightly Conservative","White"
"50613","Conservative","White"
"50615","Slightly Conservative","White"
"50616","Conservative","White"
"50617","Conservative","White"
"50618","Moderate","White"
"50619","Slightly Liberal","White"
"50620","Moderate","White"
"50621","Conservative","White"
"50622","Moderate","White"
"50623","Liberal","Other"
